REG_CODE_7,REG_NAME_7,COLOUR,NOUMENON,ALPHA,XC,RECORDIST,SRC
ARC,Arnhem Coast,#76b399,,,,,
ARP,Arnhem Plateau,#91edc2,,,,,
AUA,Australian Alps,#6f9fc9,,,,,
AVW,Avon Wheatbelt,#ede7bc,,,,,
BBN,Brigalow Belt North,#8bfeb3,,,,,
BBS,Brigalow Belt South,#9bfed4,,,,,
BEL,Ben Lomond,#9999f5,,,,,
BHC,Broken Hill Complex,#ccbeb0,,,,,
BRT,Burt Plain,#e0917e,,,,,
CAR,Carnarvon,#f8db9d,,,,,
CEA,Central Arnhem,#c1cf74,,,,,
CEK,Central Kimberley,#94cfa5,,,,,
CER,Central Ranges,#ab9076,,,,,
CHC,Channel Country,#e9c2a1,,,,,
CMC,Central Mackay Coast,#8dc8d0,,,,,
COO,Coolgardie,#ddcf8f,,,,,
COP,Cobar Peneplain,#bbb6ef,,,,,
COS,Coral Sea,#ebffff,,,,,
CYP,Cape York Peninsula,#7bdd7a,,,,,
DAB,Daly Basin,#a1e6a9,,,,,
DAC,Darwin Coastal,#57a057,,,,,
DAL,Dampierland,#87a973,,,,,
DEU,Desert Uplands,#c3f5dd,,,,,
DMR,Davenport Murchison Ranges,#ecaa96,,,,,
DRP,Darling Riverine Plains,#cdd8fb,,,,,
EIU,Einasleigh Uplands,#86fe91,,,,,
ESP,Esperance Plains,#e3cc64,,,,,
EYB,Eyre Yorke Block,#d7c6e6,,,,,
FIN,Finke,#cc8a8a,,,,,
FLB,Flinders Lofty Block,#cf9bb6,,,,,
FUR,Furneaux,#bee8ff,,,,,
GAS,Gascoyne,#e9e6a1,,,,,
GAW,Gawler,#dab2b2,,,,,
GES,Geraldton Sandplains,#e9f5cd,,,,,
GFU,Gulf Fall and Uplands,#9bbb9d,,,,,
GID,Gibson Desert,#cca373,,,,,
GSD,Great Sandy Desert,#c3b9a6,,,,,
GUC,Gulf Coastal,#8cbb69,,,,,
GUP,Gulf Plains,#a3e9a1,,,,,
GVD,Great Victoria Desert,#ccac8d,,,,,
HAM,Hampton,#ecc7a3,,,,,
ITI,Indian Tropical Islands,#ebffff,,,,,
JAF,Jarrah Forest,#c6febb,,,,,
KAN,Kanmantoo,#a18aa9,,,,,
KIN,King,#7fbffe,,,,,
LSD,Little Sandy Desert,#edca81,,,,,
MAC,MacDonnell Ranges,#dd7575,,,,,
MAL,Mallee,#e0bd86,,,,,
MDD,Murray Darling Depression,#bab9d7,Mallee Emu-wren,malemu1,XC312210,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC312210-Mallee%20Emuwren2016-1-17-9.mp3
MGD,Mitchell Grass Downs,#e6dcc1,,,,,
MII,Mount Isa Inlier,#c6cca5,,,,,
MUL,Mulga Lands,#d9d9d9,,,,,
MUR,Murchison,#e0d5a2,,,,,
NAN,Nandewar,#b6c3ef,,,,,
NCP,Naracoorte Coastal Plain,#cdd8fb,,,,,
NET,New England Tablelands,#c2bdd7,,,,,
NNC,NSW North Coast,#b9c5cc,,,,,
NOK,Northern Kimberley,#96bb7b,,,,,
NSS,NSW South Western Slopes,#bee8ff,,,,,
NUL,Nullarbor,#e0d3b5,,,,,
OVP,Ord Victoria Plain,#c1d492,,,,,
PCK,Pine Creek,#83d7c7,,,,,
PIL,Pilbara,#ccdab2,,,,,
PSI,Pacific Subtropical Islands,#ebffff,,,,,
RIV,Riverina,#9dc5e3,,,,,
SAI,Subantarctic Islands,#ffffff,,,,,
SCP,South East Coastal Plain,#a4d3ee,,,,,
SEC,South East Corner,#98addd,,,,,
SEH,South Eastern Highlands,#a4d3ee,,,,,
SEQ,South Eastern Queensland,#b1d285,,,,,
SSD,Simpson Strzelecki Dunefields,#edbc89,,,,,
STP,Stony Plains,#e0baba,,,,,
STU,Sturt Plateau,#d7f8d6,,,,,
SVP,Southern Volcanic Plain,#73dfff,,,,,
SWA,Swan Coastal Plain,#fffacd,,,,,
SYB,Sydney Basin,#918dba,,,,,
TAN,Tanami,#cca886,,,,,
TCH,Tasmanian Central Highlands,#6959cd,,,,,
TIW,Tiwi Cobourg,#92ec80,,,,,
TNM,Tasmanian Northern Midlands,#5ba1ef,,,,,
TNS,Tasmanian Northern Slopes,#63b8ff,,,,,
TSE,Tasmanian South East,#6191dd,Forty-spotted Pardalote,fospar1,XC97068,Patrik Åberg,https://xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Forty-spotted-Pardalote.mp3
TSR,Tasmanian Southern Ranges,#1289e0,,,,,
TWE,Tasmanian West,#5b72ef,,,,,
VIB,Victoria Bonaparte,#aed4ab,,,,,
VIM,Victorian Midlands,#bcc9e6,,,,,
WAR,Warren,#a6e9a9,,,,,
WET,Wet Tropics,#71c0a6,,,,,
YAL,Yalgoo,#fee7c4,,,,,
